index,ioi_beat,unbiased_cv,npvi,fourier_beat,freq_reso,n_elements,signal_length,ugof_ioi,ugof_fft,fs,filename,temperature,abundance,n_sound_per_min,time_of_day,acoustic_diversity,location,year,month,day ,time_h,time_min ,vess_den_fishing,vess_den_pleasure,vess_den_speed,vess_den_tot,vess_den_big,vess_den_other,vess_den_trade
11,0.37,0.1,9.42,1.93,0.02,22,11305,0.63,0.47,200,BM_11.xlsx,21,L,22,L,3,Venice,2020,6,22,23,15,1.8,0.5,0,39.6,22.8,14.4,20.9341
12,0.42,0.12,12.34,0.4,0.02,26,11920,0.24,0.24,200,BM_12.xlsx,22,H,25,L,3,Venice,2020,7,23,21,15,4.2,0.5,0,40.9,22.7,13.5,21.1169
13,0.46,0.11,13.62,0.46,0.02,28,11833,0.52,0.52,200,BM_13.xlsx,23.5,H,27,H,3,Venice,2020,7,20,21,32,4.2,0.5,0,40.9,22.7,13.5,21.1169
14,0.68,0.2,16.56,51.16,0.02,43,12341,0.53,0.52,200,BM_14.xlsx,21,H,40,L,3,Venice,2020,6,26,21,29,1.8,0.5,0,39.6,22.8,14.4,20.9341
15,0.32,0.26,29.43,31.34,0.02,19,11105,0.38,0.39,200,BM_15.xlsx,26.8,L,19,H,3,Venice,2020,8,20,22,49,12.3,0,0,48.1,20,15.7,18.2367
16,0.25,0.23,19,0.27,0.02,14,10490,0.5,0.58,200,BM_16.xlsx,21,L,14,L,3,Trieste_09,2009,6,1,3,11,NA,NA,NA,NA,NA,NA,NA
17,0.39,0.53,22.2,88.6,0.02,24,11925,0.29,0.2,200,BM_17.xlsx,22,L,24,L,3,Trieste_09,2009,7,21,0,0,NA,NA,NA,NA,NA,NA,NA
18,0.24,0.12,11.54,0.24,0.02,15,11579,0.38,0.38,200,BM_18.xlsx,21,L,15,L,3,Trieste_09,2009,6,1,1,23,NA,NA,NA,NA,NA,NA,NA
19,0.23,0.1,10.99,31.29,0.02,14,11134,0.63,0.64,200,BM_19.xlsx,21,L,14,L,3,Trieste_09,2009,6,1,3,23,NA,NA,NA,NA,NA,NA,NA
20,0.26,0.22,22.51,15.27,0.02,15,10834,0.14,0.54,200,BM_20.xlsx,22,L,15,L,3,Trieste_09,2009,7,23,0,30,NA,NA,NA,20.9,NA,NA,NA
21,0.23,0.17,21.75,36.93,0.03,9,6927,0.67,0.47,200,BM_21.xlsx,25.234,L,11,H,8,Crete,2017,7,9,22,59,0,0.2,0,0.7,0,0.5,0
22,0.33,0.17,15.17,0.35,0.02,19,10992,0.54,0.54,200,BM_22.xlsx,25.283,L,18,H,8,Crete,2017,7,10,22,23,0,0.2,0,0.7,0,0.5,0
23,0.43,0.08,8.63,0.45,0.02,25,11235,0.72,0.72,200,BM_23.xlsx,25.525,H,27,L,8,Crete,2017,7,11,20,59,0,0.2,0,0.7,0,0.5,0
24,0.44,0.13,12.53,0.44,0.02,26,11421,0.38,0.38,200,BM_24.xlsx,25.55,H,26,H,8,Crete,2017,7,11,21,35,0,0.2,0,0.7,0,0.5,0
25,0.33,0.18,17.86,0.32,0.02,20,11362,0.49,0.49,200,BM_25.xlsx,25.186,L,19,H,8,Crete,2017,7,13,21,59,0,0.2,0,0.7,0,0.5,0
26,0.34,0.15,12.9,92.82,0.02,20,11233,0.48,0.67,200,BM_26.xlsx,26.549,L,20,H,8,Crete,2017,7,15,22,23,0,0.2,0,0.7,0,0.5,0
27,0.36,0.14,16.57,0.36,0.02,22,11517,0.44,0.44,200,BM_27.xlsx,26.5,L,23,L,8,Crete,2017,7,16,21,11,0,0.2,0,0.7,0,0.5,0
